Timestamp,Wallet Address,Email,Name,Product Rating (1-5),Feedback & Improvements
2026-06-17 19:08:29,GDMX0URZ354BSJJPARBZNNCGPW99XN40JA04HY8S8AYKP6CHM1AQGRIN,anjali.pandey34@outlook.com,Anjali Pandey34,5,"Good app, but I want to tag deposits with specific labels."
2026-06-17 23:08:29,GFE505ARVCFTHEPK5CVOU9WFQBDBMXY8ZBRPA8DZL85T8CYFEK0A43LV,kavita.desai82@outlook.com,Kavita Desai82,4,Escrow is very secure. Please add an automated monthly allowance feature.
2026-06-18 03:08:29,GV10JSGG288BUUCP1IVCMC0QVTN4XDAWABAJSAZWJ5T9NVYDSZUK3DJ4,aditya.iyer70@yahoo.com,Aditya Iyer70,4,Easy to use. The UI could be a bit more modern.
2026-06-18 07:08:29,GMT2K0RPDZTUV6QRJE4UIYCX8A0FZPWDCVEILEAC9Q28D18FUZNKRHW2,karan.singh14@yahoo.com,Karan Singh14,5,Easy to use. The UI could be a bit more modern.
2026-06-18 11:08:29,GMD3NZ0I5WNMEV6K9WPW97OIWUZS9W2LY70U4YD1GIZ8EU1JF32QOA8R,amit.sharma61@outlook.com,Amit Sharma61,4,AI advice is surprisingly good. Would be nice to link actual bank accounts in future.
2026-06-18 15:08:29,G7RPPK3Q7J44155ZEG6B9MLKL8NG8K1ROR67MZQ35D6AXA09QE7CTNM8,meera.rajput18@gmail.com,Meera Rajput18,5,AI advice is surprisingly good. Would be nice to link actual bank accounts in future.
2026-06-18 19:08:29,GM9T6789KORI3HI5Z4L7RTFCKGQG0LF4YLBMGV4XKVIJ8JAOR3ZB5380,manoj.tiwari92@gmail.com,Manoj Tiwari92,5,"Good app, but I want to tag deposits with specific labels."
2026-06-18 23:08:29,G0957SDAHA8W77N4379QXV8RCOJH5P3A8U9U6BCUTDNMIBZCJIZG8DHS,anil.verma7@hotmail.com,Anil Verma7,4,Love the AI budget advisor. Would like a dark mode option.
2026-06-19 03:08:29,GPKDCL86PJQDXWWTJ7JB3O0K12AD4H4X99T0AUFJMMSYGJQXBMD6JNTL,amit.sharma96@outlook.com,Amit Sharma96,4,AI advice is surprisingly good. Would be nice to link actual bank accounts in future.
2026-06-19 07:08:29,GTUIQAE5ILJVI1IP2U8JUCMOJ4YN3DLZHQHPVGJVXULQOSWZIPXA6QDS,sanjay.kumar12@outlook.com,Sanjay Kumar12,4,"Good app, but I want to tag deposits with specific labels."
2026-06-19 11:08:29,GXYII6128678J4EYPPPZWYVTJYBAIBI7P6RCQE2H07QBAOFUHGA1USL9,vikram.reddy32@gmail.com,Vikram Reddy32,4,Escrow is very secure. Please add an automated monthly allowance feature.
2026-06-19 15:08:29,G1C3BKTG5I9E67WV1EBBBIEB35TYL94INZ9U2X7ET218NAK3X93A3KCO,pooja.menon99@yahoo.com,Pooja Menon99,5,Fast transactions. Need categories for grocery and rent explicitly.
2026-06-19 19:08:29,G269T71XEYSLNME28I6M425Q21A5LYANLKG40CNF92RVV6EABQIU6GSG,rohan.das75@outlook.com,Rohan Das75,4,Nice concept. Can we have multiple parent accounts for one student?
2026-06-19 23:08:29,GBOR86O3AQ7Q02FUE9Q525JFS3AKXX1WE1LYLV0Y5S8V70G32S3W51VS,pooja.menon66@gmail.com,Pooja Menon66,5,Escrow is very secure. Please add an automated monthly allowance feature.
2026-06-20 03:08:29,G2XZCNCS1PEHZP1BYZERM0IW4NFZRNV65P8I1FB8OMFYBH5943180WMY,vikram.reddy56@hotmail.com,Vikram Reddy56,5,Escrow is very secure. Please add an automated monthly allowance feature.
2026-06-20 07:08:29,G9YH57R6JK4WPFPZYL6264OCC0HI7TSIRVFWVQQ9TB5ZB31WBLHI7W9S,rahul.gupta33@outlook.com,Rahul Gupta33,5,Love the AI budget advisor. Would like a dark mode option.
2026-06-20 11:08:29,GJHI285BK57CB1STS82I4VYAG5A0XT82BXR6MZ9047YA5GWI94TDE90O,rahul.gupta72@outlook.com,Rahul Gupta72,5,Easy to use. The UI could be a bit more modern.
2026-06-20 15:08:29,GEWOZBVLXKHLCIU61HE880EK06A0QZWSM2I52WIVYDHD5HD665YL5G8F,anjali.pandey69@gmail.com,Anjali Pandey69,5,Works well. I want to see a mobile app version soon.
